Employment_Type,Education_Level,Job_Stability_Years,Family_Dependents,Monthly_Income,District,House_Ownership_Status,Vehicle_Ownership,Active_Bank_Accounts,Average_Monthly_Expenses,Existing_EMI_Burden,Emergency_Savings_Availability,Utility_Bill_Payment_Regularity,score_income,score_employment,score_education,score_job_stability,score_dependents,score_district,score_credit,score_sentiment,Repayment_Score,repayment_score_out_of_500,repayment_score_percent
Gig Worker,Postgraduate,11.24,3,44072,Adilabad,Own,None,4,3703,8174,No,Regularly Late,44.07,75.0,100.0,56.2,50.0,80.0,81.45,60.0,68.34,341.7,68.34
Trader,Postgraduate,8.55,2,117624,Khammam,Own,None,2,68356,19006,Yes,Sometimes Late,100.0,85.0,100.0,42.75,66.67,80.0,83.84,60.0,77.28,386.41,77.28
Farmer,Graduate,19.59,5,16108,Karimnagar,Family,2W,4,3847,5501,Yes,Sometimes Late,16.11,70.0,85.0,97.95,16.67,80.0,65.85,60.0,61.45,307.24,61.45
Government,12th,3.57,1,97565,Nizamabad,Own,Car,4,35670,6921,Yes,Regularly Late,97.56,100.0,75.0,17.85,83.33,80.0,92.91,60.0,75.83,379.16,75.83
Labour,Postgraduate,8.44,4,30879,Medchal,Family,Car,4,7074,6936,No,Regularly Late,30.88,60.0,100.0,42.2,33.33,80.0,77.54,60.0,60.49,302.47,60.49
Labour,Graduate,13.37,1,108432,Adilabad,Family,None,2,6806,50683,Yes,Regularly Late,100.0,60.0,85.0,66.85,83.33,80.0,53.26,60.0,73.56,367.78,73.56
Farmer,12th,3.31,4,105660,Hyderabad,Own,None,3,45593,16188,No,Sometimes Late,100.0,70.0,75.0,16.55,33.33,80.0,84.68,60.0,64.95,324.73,64.95
Labour,Graduate,0.86,4,82981,Jagtial,Rent,2W,3,18482,20260,Yes,Regularly Late,82.98,60.0,85.0,4.3,33.33,80.0,75.59,60.0,60.15,300.75,60.15
Farmer,Graduate,7.62,3,77841,Mahabubabad,Rent,2W,1,32308,14348,Yes,Sometimes Late,77.84,70.0,85.0,38.1,50.0,80.0,81.57,60.0,67.81,339.07,67.81
Labour,Graduate,16.55,1,95455,Mancherial,Family,Car,2,7231,37497,No,Always On Time,95.46,60.0,85.0,82.75,83.33,80.0,60.72,60.0,75.91,379.54,75.91
Trader,10th,6.13,1,72816,Nalgonda,Family,2W,2,24596,25807,No,Always On Time,72.82,85.0,65.0,30.65,83.33,80.0,64.56,60.0,67.67,338.35,67.67
Government,12th,16.5,1,101616,Khammam,Family,Car,3,4810,42359,No,Regularly Late,100.0,100.0,75.0,82.5,83.33,80.0,58.32,60.0,79.89,399.47,79.89
Farmer,Postgraduate,10.54,1,16729,Rangareddy,Family,2W,3,6372,875,Yes,Sometimes Late,16.73,70.0,100.0,52.7,83.33,80.0,94.77,60.0,69.69,348.46,69.69
Trader,10th,14.23,5,86215,Nizamabad,Rent,None,4,48036,42443,No,Always On Time,86.22,85.0,65.0,71.15,16.67,80.0,50.77,60.0,64.35,321.75,64.35
Government,Graduate,0.46,2,60079,Mancherial,Rent,Car,4,21242,14872,No,Sometimes Late,60.08,100.0,85.0,2.3,66.67,80.0,75.25,60.0,66.16,330.81,66.16
Government,12th,19.95,4,115099,Medak,Family,2W,3,61032,49569,No,Regularly Late,100.0,100.0,75.0,99.75,33.33,80.0,56.93,60.0,75.63,378.14,75.63
Government,10th,19.17,4,78144,Mahbubnagar,Own,2W,1,33880,34564,Yes,Sometimes Late,78.14,100.0,65.0,95.85,33.33,80.0,55.77,60.0,71.01,355.06,71.01
Trader,Graduate,6.24,1,45914,Mahbubnagar,Rent,2W,1,18701,17601,No,Regularly Late,45.91,85.0,85.0,31.2,83.33,80.0,61.67,60.0,66.51,332.57,66.51
Government,10th,9.06,1,116979,Rangareddy,Family,2W,2,35838,55791,Yes,Regularly Late,100.0,100.0,65.0,45.3,83.33,80.0,52.31,60.0,73.24,366.21,73.24
Trader,10th,0.9,5,66552,Nizamabad,Rent,Car,1,11285,22580,Yes,Sometimes Late,66.55,85.0,65.0,4.5,16.67,80.0,66.07,60.0,55.47,277.37,55.47
Gig Worker,Postgraduate,5.31,0,11631,Rangareddy,Own,2W,4,3348,1990,Yes,Sometimes Late,11.63,75.0,100.0,26.55,100.0,80.0,82.89,60.0,67.01,335.05,67.01
Gig Worker,Graduate,3.79,2,102664,Medchal,Family,None,2,52102,11328,No,Sometimes Late,100.0,75.0,85.0,18.95,66.67,80.0,88.97,60.0,71.82,359.11,71.82
Gig Worker,10th,1.08,1,35102,Khammam,Own,2W,1,8074,12295,No,Regularly Late,35.1,75.0,65.0,5.4,83.33,80.0,64.97,60.0,58.6,293.01,58.6
Government,Postgraduate,9.92,0,22879,Nalgonda,Family,Car,4,10397,1361,No,Regularly Late,22.88,100.0,100.0,49.6,100.0,80.0,94.05,60.0,75.82,379.08,75.82
Gig Worker,12th,10.23,5,109063,Bhadradri Kothagudem,Own,None,3,62360,34650,No,Sometimes Late,100.0,75.0,75.0,51.15,16.67,80.0,68.23,60.0,65.76,328.78,65.76
Trader,12th,9.08,2,25426,Kamareddy,Family,None,4,4267,4275,No,Sometimes Late,25.43,85.0,75.0,45.4,66.67,80.0,83.19,60.0,65.08,325.42,65.08
Trader,10th,13.67,3,26264,Hyderabad,Rent,2W,4,14389,3477,Yes,Regularly Late,26.26,85.0,65.0,68.35,50.0,80.0,86.76,60.0,65.17,325.86,65.17
Farmer,Graduate,4.74,5,103760,Siddipet,Family,2W,2,26326,39642,Yes,Always On Time,100.0,70.0,85.0,23.7,16.67,80.0,61.79,90.0,65.9,329.48,65.9
Trader,12th,3.82,3,102421,Nizamabad,Family,2W,2,31053,34655,Yes,Sometimes Late,100.0,85.0,75.0,19.1,50.0,80.0,66.16,60.0,66.91,334.54,66.91
Labour,10th,5.27,3,14857,Jagtial,Own,None,2,5645,4919,No,Always On Time,14.86,60.0,65.0,26.35,50.0,80.0,66.89,60.0,52.89,264.44,52.89
Trader,10th,1.04,0,76615,Khammam,Rent,None,3,11749,29926,No,Sometimes Late,76.61,85.0,65.0,5.2,100.0,80.0,60.94,60.0,66.59,332.97,66.59
Trader,10th,10.38,1,74524,Karimnagar,Rent,Car,4,33358,14772,Yes,Sometimes Late,74.52,85.0,65.0,51.9,83.33,80.0,80.18,60.0,72.49,362.46,72.49
Trader,Graduate,19.64,5,77027,Warangal,Own,Car,1,41348,13469,Yes,Sometimes Late,77.03,85.0,85.0,98.2,16.67,80.0,82.51,60.0,73.05,365.25,73.05
Gig Worker,12th,14.56,2,27394,Siddipet,Rent,2W,4,8126,6157,No,Sometimes Late,27.39,75.0,75.0,72.8,66.67,80.0,77.53,60.0,66.8,333.99,66.8
Farmer,10th,7.98,4,10447,Siddipet,Family,2W,1,4145,2438,No,Sometimes Late,10.45,70.0,65.0,39.9,33.33,80.0,76.67,60.0,54.42,272.09,54.42
Government,Postgraduate,13.36,4,14795,Jagtial,Own,2W,3,8112,1890,No,Always On Time,14.8,100.0,100.0,66.8,33.33,80.0,87.23,60.0,67.77,338.85,67.77
Trader,12th,14.59,5,32483,Hyderabad,Own,Car,2,8891,954,Yes,Sometimes Late,32.48,85.0,75.0,72.95,16.67,80.0,97.06,60.0,64.9,324.48,64.9
Government,12th,16.2,5,48211,Nalgonda,Rent,None,2,9739,5748,No,Always On Time,48.21,100.0,75.0,81.0,16.67,80.0,88.08,60.0,68.62,343.1,68.62
Gig Worker,Postgraduate,1.55,2,92649,Khammam,Own,None,3,16656,45524,Yes,Always On Time,92.65,75.0,100.0,7.75,66.67,80.0,50.86,90.0,70.37,351.83,70.37
Labour,12th,7.66,5,19095,Mahabubabad,Own,Car,1,3475,6875,Yes,Always On Time,19.1,60.0,75.0,38.3,16.67,80.0,64.0,90.0,55.38,276.91,55.38
Government,10th,5.07,0,75917,Rangareddy,Family,None,1,10068,15744,No,Sometimes Late,75.92,100.0,65.0,25.35,100.0,80.0,79.26,60.0,73.19,365.96,73.19
Trader,Graduate,9.48,5,44068,Jagtial,Rent,2W,2,6054,10653,No,Sometimes Late,44.07,85.0,85.0,47.4,16.67,80.0,75.83,60.0,61.75,308.73,61.75
Trader,Postgraduate,12.41,0,70908,Medchal,Own,2W,2,8002,9415,Yes,Always On Time,70.91,85.0,100.0,62.05,100.0,80.0,86.72,90.0,84.34,421.68,84.34
Trader,Graduate,13.49,5,22002,Adilabad,Rent,2W,1,12092,4101,Yes,Sometimes Late,22.0,85.0,85.0,67.45,16.67,80.0,81.36,60.0,62.19,310.93,62.19
Labour,10th,5.16,5,92643,Jagtial,Own,Car,3,32032,15906,Yes,Regularly Late,92.64,60.0,65.0,25.8,16.67,80.0,82.83,60.0,60.37,301.84,60.37
Labour,Postgraduate,12.03,0,80723,Bhadradri Kothagudem,Rent,Car,1,22128,21761,Yes,Sometimes Late,80.72,60.0,100.0,60.15,100.0,80.0,73.04,60.0,76.74,383.7,76.74
Trader,Postgraduate,1.59,3,13789,Khammam,Own,Car,1,4138,3168,Yes,Sometimes Late,13.79,85.0,100.0,7.95,50.0,80.0,77.03,60.0,59.22,296.1,59.22
Government,12th,15.57,1,17810,Adilabad,Own,2W,2,6413,190,Yes,Sometimes Late,17.81,100.0,75.0,77.85,83.33,80.0,98.93,60.0,74.12,370.58,74.12
Gig Worker,12th,2.34,0,88934,Jagtial,Own,None,3,35934,14688,Yes,Sometimes Late,88.93,75.0,75.0,11.7,100.0,80.0,83.48,60.0,71.76,358.82,71.76
Labour,10th,3.81,2,24968,Mahabubabad,Rent,2W,3,5016,9604,No,Regularly Late,24.97,60.0,65.0,19.05,66.67,80.0,61.54,60.0,54.65,273.26,54.65
Labour,10th,17.09,1,10476,Adilabad,Rent,Car,4,5729,694,No,Always On Time,10.48,60.0,65.0,85.45,83.33,80.0,93.38,60.0,67.2,336.02,67.2
Labour,12th,3.69,1,74562,Warangal,Rent,2W,3,24815,21876,Yes,Sometimes Late,74.56,60.0,75.0,18.45,83.33,80.0,70.66,60.0,65.25,326.25,65.25
Labour,10th,14.81,5,67938,Mancherial,Own,None,1,11275,32711,Yes,Sometimes Late,67.94,60.0,65.0,74.05,16.67,80.0,51.85,60.0,59.44,297.19,59.44
Labour,12th,3.82,1,111714,Nizamabad,Rent,Car,3,27796,14684,Yes,Sometimes Late,100.0,60.0,75.0,19.1,83.33,80.0,86.86,60.0,70.54,352.68,70.54
Trader,Postgraduate,7.86,3,37052,Medchal,Family,Car,1,17624,14958,Yes,Sometimes Late,37.05,85.0,100.0,39.3,50.0,80.0,59.63,60.0,63.87,319.36,63.87
Trader,Postgraduate,1.56,2,76236,Medak,Rent,None,1,17271,37240,Yes,Regularly Late,76.24,85.0,100.0,7.8,66.67,80.0,51.15,60.0,65.86,329.28,65.86
Government,10th,4.38,4,51823,Siddipet,Family,2W,2,26036,4995,Yes,Always On Time,51.82,100.0,65.0,21.9,33.33,80.0,90.36,90.0,66.55,332.76,66.55
Gig Worker,10th,12.41,5,58773,Nalgonda,Family,None,2,3136,16802,No,Always On Time,58.77,75.0,65.0,62.05,16.67,80.0,71.41,60.0,61.11,305.56,61.11
Trader,Graduate,17.69,0,33657,Mahbubnagar,Family,None,2,4476,16184,Yes,Always On Time,33.66,85.0,85.0,88.45,100.0,80.0,51.92,90.0,76.75,383.76,76.75
Government,Graduate,18.32,2,61242,Mahbubnagar,Rent,2W,1,4474,4496,No,Always On Time,61.24,100.0,85.0,91.6,66.67,80.0,92.66,60.0,79.65,398.23,79.65
Gig Worker,Postgraduate,10.3,4,73143,Mahabubabad,Rent,None,1,28523,5674,No,Sometimes Late,73.14,75.0,100.0,51.5,33.33,80.0,92.24,60.0,70.65,353.26,70.65
Government,10th,19.7,0,17779,Warangal,Own,Car,3,5799,3352,No,Regularly Late,17.78,100.0,65.0,98.5,100.0,80.0,81.15,60.0,75.3,376.52,75.3
Government,Postgraduate,14.87,0,119348,Mahabubabad,Own,2W,3,68698,50454,No,Regularly Late,100.0,100.0,100.0,74.35,100.0,80.0,57.73,60.0,84.01,420.05,84.01
Labour,12th,10.35,2,58879,Kamareddy,Rent,Car,4,24130,19383,Yes,Regularly Late,58.88,60.0,75.0,51.75,66.67,80.0,67.08,60.0,64.92,324.61,64.92
Farmer,10th,16.84,2,112148,Mahabubabad,Family,None,4,18066,46459,No,Sometimes Late,100.0,70.0,65.0,84.2,66.67,80.0,58.57,60.0,73.06,365.28,73.06
Trader,12th,7.18,3,31101,Hyderabad,Family,Car,2,16078,4440,Yes,Regularly Late,31.1,85.0,75.0,35.9,50.0,80.0,85.72,60.0,62.84,314.2,62.84
Trader,12th,5.42,0,54790,Jagtial,Rent,None,3,7279,6414,No,Sometimes Late,54.79,85.0,75.0,27.1,100.0,80.0,88.29,60.0,71.27,356.36,71.27
Farmer,Graduate,0.07,0,26315,Mahbubnagar,Family,Car,2,5358,9445,No,Always On Time,26.32,70.0,85.0,0.35,100.0,80.0,64.11,60.0,60.72,303.61,60.72
Labour,12th,9.31,5,108340,Nalgonda,Own,None,2,16460,7253,No,Always On Time,100.0,60.0,75.0,46.55,16.67,80.0,93.31,60.0,66.44,332.2,66.44
Trader,12th,19.07,1,75196,Rangareddy,Family,None,4,40582,34827,No,Always On Time,75.2,85.0,75.0,95.35,83.33,80.0,53.69,60.0,75.95,379.73,75.95
Government,10th,10.97,0,112822,Nalgonda,Own,Car,2,40467,43725,Yes,Always On Time,100.0,100.0,65.0,54.85,100.0,80.0,61.24,90.0,81.39,406.93,81.39
Gig Worker,10th,9.27,2,64848,Karimnagar,Family,2W,1,10420,23179,No,Regularly Late,64.85,75.0,65.0,46.35,66.67,80.0,64.26,60.0,65.27,326.33,65.27
Government,Graduate,19.37,4,58840,Medak,Rent,None,4,18809,1753,No,Sometimes Late,58.84,100.0,85.0,96.85,33.33,80.0,97.02,60.0,76.38,381.9,76.38
Farmer,Postgraduate,0.31,4,30177,Nizamabad,Own,None,4,4480,6511,Yes,Always On Time,30.18,70.0,100.0,1.55,33.33,80.0,78.42,90.0,60.44,302.18,60.44
Government,Postgraduate,18.4,2,23300,Karimnagar,Rent,None,2,7840,4988,Yes,Always On Time,23.3,100.0,100.0,92.0,66.67,80.0,78.59,90.0,78.82,394.1,78.82
Farmer,Postgraduate,12.42,5,33985,Hyderabad,Own,None,4,11735,9738,Yes,Sometimes Late,33.98,70.0,100.0,62.1,16.67,80.0,71.35,60.0,61.76,308.81,61.76
Labour,Graduate,7.92,0,112967,Medchal,Own,2W,1,36005,36427,Yes,Regularly Late,100.0,60.0,85.0,39.6,100.0,80.0,67.75,60.0,74.04,370.22,74.04
Government,Postgraduate,10.22,2,63594,Adilabad,Own,None,1,18223,11128,Yes,Sometimes Late,63.59,100.0,100.0,51.1,66.67,80.0,82.5,60.0,75.48,377.41,75.48
Trader,12th,8.85,5,95455,Nizamabad,Rent,None,3,19642,37189,Yes,Always On Time,95.46,85.0,75.0,44.25,16.67,80.0,61.04,90.0,68.43,342.13,68.43
Government,10th,0.23,0,10293,Khammam,Family,2W,3,5095,3455,Yes,Sometimes Late,10.29,100.0,65.0,1.15,100.0,80.0,66.44,60.0,60.36,301.8,60.36
Trader,Graduate,18.16,4,102718,Kamareddy,Family,None,3,6000,14781,Yes,Always On Time,100.0,85.0,85.0,90.8,33.33,80.0,85.61,90.0,81.22,406.09,81.22
Gig Worker,10th,12.69,0,68613,Kamareddy,Own,Car,4,8764,15835,No,Always On Time,68.61,75.0,65.0,63.45,100.0,80.0,76.92,60.0,73.62,368.12,73.62
Government,10th,2.78,4,105530,Rangareddy,Family,None,3,60127,1299,Yes,Regularly Late,100.0,100.0,65.0,13.9,33.33,80.0,98.77,60.0,68.88,344.38,68.88
Labour,Postgraduate,0.75,2,84520,Jagtial,Rent,Car,4,14080,11464,No,Sometimes Late,84.52,60.0,100.0,3.75,66.67,80.0,86.44,60.0,67.67,338.36,67.67
Farmer,10th,2.54,3,99810,Mahbubnagar,Rent,None,1,6618,19208,No,Sometimes Late,99.81,70.0,65.0,12.7,50.0,80.0,80.76,60.0,64.78,323.92,64.78
Labour,10th,3.75,0,20889,Mahbubnagar,Own,None,3,9150,8706,Yes,Sometimes Late,20.89,60.0,65.0,18.75,100.0,80.0,58.32,60.0,57.87,289.35,57.87
Trader,12th,15.42,1,61210,Mancherial,Family,Car,4,26814,8649,Yes,Always On Time,61.21,85.0,75.0,77.1,83.33,80.0,85.87,90.0,79.69,398.45,79.69
Government,Postgraduate,1.49,2,29866,Khammam,Family,2W,4,12007,1079,No,Regularly Late,29.87,100.0,100.0,7.45,66.67,80.0,96.39,60.0,67.55,337.73,67.55
Government,Postgraduate,3.37,5,26469,Mancherial,Family,None,3,6950,9783,Yes,Regularly Late,26.47,100.0,100.0,16.85,16.67,80.0,63.04,60.0,57.88,289.39,57.88
Labour,10th,16.13,1,61212,Nalgonda,Family,None,1,19088,29335,No,Always On Time,61.21,60.0,65.0,80.65,83.33,80.0,52.08,60.0,67.78,338.92,67.78
Gig Worker,10th,11.47,3,53343,Warangal,Rent,None,3,21822,7341,Yes,Sometimes Late,53.34,75.0,65.0,57.35,50.0,80.0,86.24,60.0,65.87,329.33,65.87
Farmer,10th,15.28,2,44835,Khammam,Family,2W,1,6805,22127,Yes,Always On Time,44.84,70.0,65.0,76.4,66.67,80.0,50.65,90.0,67.94,339.72,67.94
Gig Worker,Postgraduate,12.62,5,38954,Medchal,Family,2W,4,4884,13748,No,Regularly Late,38.95,75.0,100.0,63.1,16.67,80.0,64.71,60.0,62.3,311.52,62.3
Labour,10th,2.7,3,76885,Mahabubabad,Rent,Car,4,37298,25111,Yes,Regularly Late,76.89,60.0,65.0,13.5,50.0,80.0,67.34,60.0,59.09,295.45,59.09
Labour,12th,3.24,5,22872,Mancherial,Rent,None,2,8772,4900,Yes,Sometimes Late,22.87,60.0,75.0,16.2,16.67,80.0,78.58,60.0,51.16,255.82,51.16
Government,10th,11.69,2,19405,Mahabubabad,Own,2W,3,11373,7697,No,Regularly Late,19.4,100.0,65.0,58.45,66.67,80.0,60.34,60.0,63.73,318.66,63.73
Trader,Graduate,16.21,2,106586,Karimnagar,Family,None,1,5213,40039,Yes,Regularly Late,100.0,85.0,85.0,81.05,66.67,80.0,62.44,60.0,77.52,387.6,77.52
Gig Worker,10th,18.62,0,42430,Karimnagar,Family,Car,2,6486,3923,Yes,Always On Time,42.43,75.0,65.0,93.1,100.0,80.0,90.75,90.0,79.54,397.68,79.54
Farmer,Postgraduate,7.96,0,69215,Warangal,Family,Car,2,20098,17372,No,Sometimes Late,69.22,70.0,100.0,39.8,100.0,80.0,74.9,60.0,74.24,371.2,74.24
Gig Worker,Postgraduate,7.65,5,12831,Nalgonda,Rent,None,4,3261,273,Yes,Sometimes Late,12.83,75.0,100.0,38.25,16.67,80.0,97.87,60.0,60.08,300.39,60.08
Farmer,Graduate,4.93,4,35568,Warangal,Family,Car,1,20850,11022,No,Sometimes Late,35.57,70.0,85.0,24.65,33.33,80.0,69.01,60.0,57.2,285.98,57.2
Farmer,10th,6.08,4,96318,Bhadradri Kothagudem,Family,Car,1,55227,26604,No,Sometimes Late,96.32,70.0,65.0,30.4,33.33,80.0,72.38,60.0,63.43,317.14,63.43
Labour,10th,11.04,1,77455,Mahabubabad,Rent,Car,2,24395,30523,No,Always On Time,77.46,60.0,65.0,55.2,83.33,80.0,60.59,60.0,67.7,338.49,67.7
Farmer,Postgraduate,5.75,1,42553,Medak,Own,Car,4,20141,15361,Yes,Sometimes Late,42.55,70.0,100.0,28.75,83.33,80.0,63.9,60.0,66.07,330.34,66.07
Trader,Postgraduate,14.15,5,34096,Khammam,Rent,None,1,18888,13484,Yes,Regularly Late,34.1,85.0,100.0,70.75,16.67,80.0,60.45,60.0,63.37,316.85,63.37
Farmer,Postgraduate,0.94,5,63449,Siddipet,Own,Car,3,12165,23176,Yes,Regularly Late,63.45,70.0,100.0,4.7,16.67,80.0,63.47,60.0,57.29,286.43,57.29
Gig Worker,Postgraduate,1.28,0,92380,Kamareddy,Rent,2W,2,23821,17558,No,Regularly Late,92.38,75.0,100.0,6.4,100.0,80.0,80.99,60.0,74.35,371.73,74.35
Labour,10th,17.4,2,96997,Siddipet,Rent,2W,2,31590,5430,No,Always On Time,97.0,60.0,65.0,87.0,66.67,80.0,94.4,60.0,76.26,381.29,76.26
Gig Worker,Graduate,3.33,0,103692,Siddipet,Rent,2W,2,18713,21377,No,Always On Time,100.0,75.0,85.0,16.65,100.0,80.0,79.38,60.0,74.5,372.52,74.5
Government,10th,7.4,5,89328,Jagtial,Rent,None,1,33443,23977,No,Sometimes Late,89.33,100.0,65.0,37.0,16.67,80.0,73.16,60.0,65.14,325.72,65.14
Farmer,Graduate,16.13,5,95487,Warangal,Rent,Car,4,47239,41713,No,Always On Time,95.49,70.0,85.0,80.65,16.67,80.0,56.32,60.0,68.01,340.07,68.01
Farmer,Postgraduate,18.24,1,64500,Mancherial,Rent,2W,1,4130,15192,Yes,Always On Time,64.5,70.0,100.0,91.2,83.33,80.0,76.45,90.0,81.94,409.68,81.94
Gig Worker,Graduate,8.7,0,101930,Rangareddy,Rent,2W,4,36882,50356,No,Sometimes Late,100.0,75.0,85.0,43.5,100.0,80.0,50.6,60.0,74.26,371.31,74.26
Gig Worker,Postgraduate,2.36,4,63460,Bhadradri Kothagudem,Own,None,2,36347,10062,No,Always On Time,63.46,75.0,100.0,11.8,33.33,80.0,84.14,60.0,63.47,317.34,63.47
Gig Worker,12th,17.9,3,10094,Khammam,Rent,2W,3,4778,2533,Yes,Always On Time,10.09,75.0,75.0,89.5,50.0,80.0,74.91,90.0,68.06,340.31,68.06
Government,10th,6.18,4,9343,Bhadradri Kothagudem,Family,2W,4,5430,1245,Yes,Regularly Late,9.34,100.0,65.0,30.9,33.33,80.0,86.68,60.0,58.16,290.78,58.16
Labour,Graduate,14.32,3,33173,Mancherial,Rent,Car,3,10338,11903,Yes,Always On Time,33.17,60.0,85.0,71.6,50.0,80.0,64.12,90.0,66.74,333.68,66.74
Trader,12th,13.87,1,106264,Mahabubabad,Rent,Car,3,59654,8139,No,Always On Time,100.0,85.0,75.0,69.35,83.33,80.0,92.34,60.0,80.63,403.14,80.63
Government,12th,3.65,3,55990,Medchal,Own,2W,3,23963,7695,No,Regularly Late,55.99,100.0,75.0,18.25,50.0,80.0,86.26,60.0,65.69,328.44,65.69
Government,12th,2.59,4,73982,Siddipet,Own,Car,3,21980,25091,Yes,Sometimes Late,73.98,100.0,75.0,12.95,33.33,80.0,66.09,60.0,62.67,313.34,62.67
Labour,Graduate,15.85,4,34976,Mancherial,Family,None,1,4259,10229,No,Regularly Late,34.98,60.0,85.0,79.25,33.33,80.0,70.76,60.0,62.91,314.57,62.91
Trader,Graduate,15.08,4,42723,Siddipet,Family,None,1,20071,15415,Yes,Sometimes Late,42.72,85.0,85.0,75.4,33.33,80.0,63.92,60.0,65.67,328.36,65.67
Government,12th,15.56,4,16394,Rangareddy,Family,2W,4,4450,3597,Yes,Sometimes Late,16.39,100.0,75.0,77.8,33.33,80.0,78.06,60.0,65.07,325.37,65.07
Labour,12th,7.91,1,96534,Nizamabad,Family,None,2,20120,35351,Yes,Always On Time,96.53,60.0,75.0,39.55,83.33,80.0,63.38,90.0,73.47,367.37,73.47
Labour,Graduate,15.92,1,47562,Medak,Family,None,3,26231,4503,No,Always On Time,47.56,60.0,85.0,79.6,83.33,80.0,90.53,60.0,73.25,366.27,73.25
Trader,12th,11.02,3,64142,Medchal,Family,None,1,12309,24769,Yes,Always On Time,64.14,85.0,75.0,55.1,50.0,80.0,61.38,90.0,70.08,350.39,70.08
Gig Worker,10th,19.69,2,27188,Rangareddy,Family,Car,3,8692,11499,No,Always On Time,27.19,75.0,65.0,98.45,66.67,80.0,57.71,60.0,66.25,331.26,66.25
Farmer,Graduate,5.77,5,68723,Khammam,Own,2W,3,35154,3710,Yes,Always On Time,68.72,70.0,85.0,28.85,16.67,80.0,94.6,90.0,66.73,333.65,66.73
Government,10th,14.03,5,89552,Mahabubabad,Family,2W,3,19222,10265,Yes,Sometimes Late,89.55,100.0,65.0,70.15,16.67,80.0,88.54,60.0,71.24,356.19,71.24
Labour,Postgraduate,13.0,0,57563,Rangareddy,Family,None,2,19710,11596,Yes,Regularly Late,57.56,60.0,100.0,65.0,100.0,80.0,79.86,60.0,75.3,376.51,75.3
Farmer,Postgraduate,19.8,1,33021,Mancherial,Own,None,3,3086,14844,No,Always On Time,33.02,70.0,100.0,99.0,83.33,80.0,55.05,60.0,72.55,362.75,72.55
Labour,12th,13.97,2,79620,Bhadradri Kothagudem,Rent,Car,4,37499,24366,No,Sometimes Late,79.62,60.0,75.0,69.85,66.67,80.0,69.4,60.0,70.07,350.33,70.07
Labour,Postgraduate,15.38,0,54165,Nalgonda,Rent,None,4,9740,6010,Yes,Regularly Late,54.16,60.0,100.0,76.9,100.0,80.0,88.9,60.0,77.5,387.48,77.5
Trader,Graduate,12.54,0,107649,Nizamabad,Rent,2W,2,58649,3411,Yes,Always On Time,100.0,85.0,85.0,62.7,100.0,80.0,96.83,90.0,87.44,437.21,87.44
Farmer,Graduate,6.27,2,19077,Mancherial,Own,Car,2,9653,8764,No,Always On Time,19.08,70.0,85.0,31.35,66.67,80.0,54.06,60.0,58.27,291.35,58.27
Government,Graduate,10.98,1,23619,Kamareddy,Own,None,1,4392,760,No,Always On Time,23.62,100.0,85.0,54.9,83.33,80.0,96.78,60.0,72.95,364.77,72.95
Farmer,Graduate,7.78,2,106524,Rangareddy,Rent,Car,1,51204,7910,No,Regularly Late,100.0,70.0,85.0,38.9,66.67,80.0,92.57,60.0,74.14,370.71,74.14
Farmer,10th,6.74,0,13684,Mahabubabad,Own,Car,2,7905,5778,No,Always On Time,13.68,70.0,65.0,33.7,100.0,80.0,57.78,60.0,60.02,300.1,60.02
Gig Worker,Postgraduate,13.09,5,64043,Adilabad,Rent,Car,4,24321,29579,No,Regularly Late,64.04,75.0,100.0,65.45,16.67,80.0,53.81,60.0,64.37,321.86,64.37
Government,Postgraduate,16.61,4,93136,Adilabad,Family,None,3,50017,33384,No,Regularly Late,93.14,100.0,100.0,83.05,33.33,80.0,64.16,60.0,76.71,383.55,76.71
Labour,Postgraduate,13.14,2,13803,Nalgonda,Family,Car,4,3807,1870,Yes,Regularly Late,13.8,60.0,100.0,65.7,66.67,80.0,86.45,60.0,66.58,332.89,66.58
Gig Worker,10th,0.41,4,104610,Nizamabad,Own,None,2,22918,41063,No,Regularly Late,100.0,75.0,65.0,2.05,33.33,80.0,60.75,60.0,59.52,297.58,59.52
Farmer,Graduate,19.67,0,92060,Hyderabad,Own,Car,3,9893,39642,Yes,Always On Time,92.06,70.0,85.0,98.35,100.0,80.0,56.94,90.0,84.04,420.22,84.04
Government,10th,13.53,5,92558,Karimnagar,Rent,None,3,37141,23590,Yes,Always On Time,92.56,100.0,65.0,67.65,16.67,80.0,74.51,90.0,73.3,366.49,73.3
Government,12th,7.67,5,13866,Karimnagar,Own,2W,3,5327,2770,No,Always On Time,13.87,100.0,75.0,38.35,16.67,80.0,80.02,60.0,57.99,289.94,57.99
Labour,10th,10.08,4,85166,Adilabad,Rent,None,3,39656,937,No,Regularly Late,85.17,60.0,65.0,50.4,33.33,80.0,98.9,60.0,66.6,333.0,66.6
Labour,12th,16.69,0,65576,Nalgonda,Family,2W,2,23765,31780,Yes,Regularly Late,65.58,60.0,75.0,83.45,100.0,80.0,51.54,60.0,71.95,359.73,71.95
Government,12th,2.95,4,95932,Mahbubnagar,Rent,2W,3,40306,11526,Yes,Regularly Late,95.93,100.0,75.0,14.75,33.33,80.0,87.99,60.0,68.38,341.88,68.38
Labour,Graduate,1.02,2,100300,Siddipet,Family,Car,2,16243,13640,No,Always On Time,100.0,60.0,85.0,5.1,66.67,80.0,86.4,60.0,67.9,339.48,67.9
